"통계분류(1)",통계분류(2),2011,2011,2011,2011
"통계분류(1)",통계분류(2),매출액,구성비,전년대비증감률,연평균증감률
"계",소계,88047,100,18.5,15.7
"게임 제작 및 배급",소계,70121,79.6,25.3,23.8
"게임 제작 및 배급",온라인게임,62369,70.8,30.8,29.7
"게임 제작 및 배급",아케이드게임,736,0.8,3,9.1
"게임 제작 및 배급",비디오게임,2684,3.1,-37.1,-28.5
"게임 제작 및 배급",모바일게임,4236,4.8,33.8,27.4
"게임 제작 및 배급",pc게임,96,0.1,-19.7,-19.8
"게임유통업",소계,17926,20.4,-2.4,-5.5
"게임유통업",PC방,17163,19.5,-2.5,-5.8
"게임유통업",아케이드게임장,,,,
"게임유통업",비디오게임장,,,,
"게임유통업",복합유통업소,,,,
"게임유통업",전자 게임장 운영업,763,0.9,-0.7,1.3
